NFYC,ACTL6A,6.0333
JUND,CD44,6.0333
ETS1,PPM1M,6.0333
ELF1,NAB2,6.0333
GABPB2,RAB11FIP2,6.0333
GABPA,KLF2,6.0333
ELK4,VPS53,6.0333
ZEB1,FRAT2,6.0333
MYB,VKORC1L1,6.0333
GABPB2,TMCO1,6.0333
GABPB2,CPT2,6.0333
ETS1,DHRS3,6.0333
TFAP4,ZNF644,6.0333
CREB1,JAK1,6.0333
HMGA2,RBM5,6.0333
GABPA,AFTPH,6.0333
NFYC,CUTA,6.0333
NFYC,SCD,6.0333
TFDP1,RAG1AP1,6.0333
ELK4,MORC2,6.0333
YY1,KIAA0101,6.0333
ARID5B,ZIC2,6.0333
NFYC,KIAA1715,6.0333
OLIG2,DAZAP1,6.0333
ETS1,PSD4,6.0333
ETS1,IFITM3,6.0333
ELF1,SPRED1,6.0333
GABPA,ZNF364,6.0333
FOSL2,CLIC1,6.0333
YY1,FEZ2,6.0333
BHLHB2,ZNF318,6.0333
ELF1,MAP1S,6.0333
ELK4,PRKACB,6.0333
FOSB,TRAF1,6.0333
ELF2,EML4,6.0333
ETS1,SLA,6.0333
CREB1,PVT1,6.0333
EGR3,TWF2,6.0333
CREB1,RP11-679B17.1,6.0333
NFATC1,KIAA0430,6.0333
TFAP4,EMP1,6.0333
ELK4,TMEM53,6.0333
ZEB1,ZBTB5,6.0333
FOSL1,NFKBIE,6.0333
GABPB2,RPL21,6.0333
ELK4,IMP3,6.0333
GABPB2,HMGA1,6.0333
OLIG2,PDZD7,6.0333
ELK4,SPG11,6.0333
ELF1,FLOT1,6.0333
ELK4,ZFAND6,6.0333
GTF2I,ARHGEF2,6.0333
GTF2I,RP11-679B17.1,6.0333
FOXO4,TMEM50A,6.0333
ETS1,DHX36,6.0333
GABPB2,TMUB1,6.0333
ELK4,PARL,6.0333
FOSL1,ABCB1,6.0333
NFYC,DDX20,6.0333
YY1,GOLPH3,6.0333
FOSL1,PPP1R15A,6.0333
NFYC,SHPK,6.0333
ETS1,A2M,6.0333
ZEB1,POLR3K,6.0333
ELK4,MYCBP,6.0333
GABPB2,SLMO2,6.0333
PRDM1,FER1L3,6.0333
MEF2C,JMJD1C,6.0333
ARNTL,BUB3,6.0333
ARID5B,CC2D1A,6.0333
CREB1,RPS29,6.0333
YY1,ANP32B,6.0333
ZIC2,RB1,6.0333
ELK4,SPTLC2,6.0333
ARNTL,SSBP2,6.0333
NFATC1,H2AFY,6.0333
FOXO1,FAM100B,6.0333
PRDM1,PCBP1,6.0333
CREB3,RANBP2,6.0333
CREB1,SNF1LK2,6.0333
CREB1,OTUD1,6.0333
TFAP4,ATP10D,6.0333
TFDP1,S100PBP,6.0333
GTF2I,ONECUT2,6.0333
ADNP,RBM5,6.0333
ELF2,ARFIP1,6.0333
EGR3,BMPR2,6.0333
TFDP1,MRE11A,6.0333
YY1,C9orf5,6.0333
GABPA,FBXW4,6.0333
GABPB2,TYMP,6.0333
GABPA,SUMO1,6.0333
GABPB2,CYP4V2,6.0333
TFDP1,TUBB2C,6.0333
FOSL1,MAP7D1,6.0333
NFYC,ANP32E,6.0333
ELK4,RARS2,6.0333
ELK4,ARMC10,6.0333
GABPB2,DPY19L4,6.0333
GABPA,DIABLO,6.0333
ETS1,DCP2,6.0333
TFDP1,ATAD2,6.0333
ELF1,TMEM60,6.0333
GFI1,SREBF2,6.0333
MYB,ARHGAP9,6.0333
YY1,SFRS15,6.0333
NFYC,PHF17,6.0333
